name	accession	length	type	submission_date	organism	host	strain	segment	geo_loc_name	country	country_code	collection_original	collection_date	note
MH892403	MH892403	15675	viral cRNA	2019-02-05	Human respirovirus 1	Homo sapiens	t146a290_HPIV1	NA	Netherlands	Netherlands	NLD	28-Oct-2013	2013-10-28	LLcmk2 cell culture passage 3
PP334206	PP334206	15672	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8L9/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
PP334233	PP334233	15617	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11D4/2013	NA	USA	USA	USA	2013-11	2013-11-01	metagenomic
PP334238	PP334238	15608	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12N5/2015	NA	USA	USA	USA	2015-11	2015-11-01	metagenomic
PP334217	PP334217	15603	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9B8/2012	NA	USA	USA	USA	2012-02	2012-02-01	metagenomic
PP334214	PP334214	15601	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8R4/2011	NA	USA	USA	USA	2011-12	2011-12-01	metagenomic
AF457102	AF457102	15600	genomic RNA	2002-06-05	Human parainfluenza virus 1 strainWashington/1964	NA	Washington 1964	NA	NA	NA	NA	NA	NA	NA
NC_003461	NC_003461	15600	genomic RNA	2018-08-13	Human respirovirus 1	NA	Washington 1964	NA	NA	NA	NA	NA	NA	NA
FV537046	FV537046	15600	unassigned DNA	2010-03-18	Human respirovirus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FV537047	FV537047	15600	unassigned DNA	2010-03-18	Human respirovirus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FV537048	FV537048	15600	unassigned DNA	2010-03-18	Human respirovirus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FV537049	FV537049	15600	unassigned DNA	2010-03-18	Human respirovirus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK167033	MK167033	15600	viral cRNA	2020-02-21	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5T5/2005	NA	USA	USA	USA	2005	2005-01-01	NA
MK167042	MK167042	15600	viral cRNA	2020-02-21	Human respirovirus 1	Homo sapiens	HPIV1/Los_Angeles/USA/CHLA45/2017	NA	USA	USA	USA	2017	2017-01-01	NA
LC720863	LC720863	15600	viral cRNA	2022-07-30	Human respirovirus 1	Homo sapiens	PIV1_Fukushima_O876_2019	NA	Japan: Fukushima	Japan	JPN	2019	2019-01-01	NA
