name	accession	length	type	submission_date	organism	host	strain	segment	geo_loc_name	country	country_code	collection_original	collection_date	note
OQ990772	OQ990772	15692	viral cRNA	2024-09-06	Human orthorubulavirus 2	Homo sapiens	HPIV2/China_Zhejiang/WZ17441/2019	NA	China	China	CHN	11-Oct-2019	2019-10-11	NA
MH892405	MH892405	15684	viral cRNA	2019-02-05	Human orthorubulavirus 2	Homo sapiens	t146a292_HPIV2	NA	Netherlands	Netherlands	NLD	15-Dec-2014	2014-12-15	LLcmk2 cell culture passage 3
OQ990773	OQ990773	15664	viral cRNA	2024-09-06	Human orthorubulavirus 2	Homo sapiens	HPIV2/China_Ningxia/YC17068/2017	NA	China	China	CHN	12-Oct-2017	2017-10-12	NA
AF533010	AF533010	15654	genomic RNA	2002-12-16	Human orthorubulavirus 2	NA	V94	NA	NA	NA	NA	NA	NA	NA
AF533011	AF533011	15654	genomic RNA	2002-12-16	Human orthorubulavirus 2	NA	V98	NA	NA	NA	NA	NA	NA	NA
AF533012	AF533012	15654	genomic RNA	2002-12-16	Human orthorubulavirus 2	NA	GREER	NA	NA	NA	NA	NA	NA	NA
AB176531	AB176531	15654	genomic RNA	2020-12-19	Human orthorubulavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GN115622	GN115622	15654	unassigned DNA	2009-04-17	Human orthorubulavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FW584474	FW584474	15654	unassigned DNA	2011-04-01	Human orthorubulavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY986645	KY986645	15654	viral cRNA	2022-05-06	Human orthorubulavirus 2	Homo sapiens	HPIV2/Seattle/USA/SC2761/2015	NA	USA	USA	USA	2015	2015-01-01	NA
MG836416	MG836416	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/47.14(1688)	NA	Croatia	Croatia	HRV	22-Nov-2014	2014-11-22	NA
MG836417	MG836417	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/47.15(1779)	NA	Croatia	Croatia	HRV	20-Nov-2015	2015-11-20	NA
MG836418	MG836418	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/49.15(1849)	NA	Croatia	Croatia	HRV	02-Dec-2015	2015-12-02	NA
MG836419	MG836419	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/49.16(2400)	NA	Croatia	Croatia	HRV	05-Dec-2016	2016-12-05	NA
MG836420	MG836420	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/50.16(2513)	NA	Croatia	Croatia	HRV	14-Dec-2016	2016-12-14	NA
MG836421	MG836421	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/47.11(16475)	NA	Croatia	Croatia	HRV	30-Oct-2011	2011-10-30	NA
MG836422	MG836422	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/49.11(17034)	NA	Croatia	Croatia	HRV	12-Nov-2011	2011-11-12	NA
MG836423	MG836423	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/38.12(2858)	NA	Croatia	Croatia	HRV	03-Sep-2012	2012-09-03	NA
MG836424	MG836424	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/50.12(3263)	NA	Croatia	Croatia	HRV	29-Nov-2012	2012-11-29	NA
MG836425	MG836425	15654	viral cRNA	2018-11-07	Human orthorubulavirus 2	Homo sapiens	HPIV2i/Zagreb.HR/42.14(1472)	NA	Croatia	Croatia	HRV	17-Oct-2014	2014-10-17	NA
MK167022	MK167022	15654	viral cRNA	2020-02-21	Human orthorubulavirus 2	Homo sapiens	HPIV2/Los_Angeles/USA/CHLA40/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MK167023	MK167023	15654	viral cRNA	2020-02-21	Human orthorubulavirus 2	Homo sapiens	HPIV2/Los_Angeles/USA/CHLA34/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MK167026	MK167026	15654	viral cRNA	2020-02-21	Human orthorubulavirus 2	Homo sapiens	HPIV2/Los_Angeles/USA/CHLA20/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MH892406	MH892406	15654	viral cRNA	2019-02-05	Human orthorubulavirus 2	Homo sapiens	t146a293_HPIV2	NA	Netherlands	Netherlands	NLD	02-Apr-2014	2014-04-02	LLcmk2 cell culture passage 3
MH828710	MH828710	15654	viral cRNA	2022-04-16	Human orthorubulavirus 2	Homo sapiens	vzhpiv21	NA	Viet Nam	Viet Nam	VNM	27-May-2014	2014-05-27	NA
MH828711	MH828711	15654	viral cRNA	2022-04-16	Human orthorubulavirus 2	Homo sapiens	vzhpiv22	NA	Viet Nam	Viet Nam	VNM	12-May-2014	2014-05-12	NA
MH828712	MH828712	15654	viral cRNA	2022-04-16	Human orthorubulavirus 2	Homo sapiens	vzhpiv23	NA	Viet Nam	Viet Nam	VNM	25-Sep-2015	2015-09-25	NA
